id,title,budget,release_date,revenue,runtime,status
7855,The Spy,6000000,2012-04-05,4588176,99,Released
7856,The Spy Next Door,28000000,2010-01-15,45236543,94,Released
7857,The Spy Who Loved Me,14000000,1977-07-07,185438673,125,Released
7858,The Spy in Black,4668069,1939-10-07,,82,Released
7859,The Squid and the Whale,1500000,2005-10-05,11098131,81,Released
7860,The St. Valentine's Day Massacre,2175000,1967-06-30,,100,Released
7861,The Stag,600000,2013-09-10,,94,Released
7862,The Stalker,300,2013-03-01,,90,Released
7863,The Stand,28000000,1994-01-01,,366,Released
7864,The Star,1300000,2002-05-06,809000,97,Released
7865,The Starving Games,4500000,2013-11-07,,83,Released
7866,The Station Agent,500000,2003-01-26,8679814,88,Released
7867,The Stepford Wives,90000000,2004-06-10,102000000,93,Released
7868,The Sticky Fingers of Time,250000,1997-06-06,,90,Released
7869,The Sting,5500000,1973-12-25,159616327,129,Released
7870,The Stone Council,22000000,2006-11-15,,102,Released
7871,The Stool Pigeon,4000000,2010-08-26,,113,Released
7872,The Storm Warriors,100000000,2009-12-10,,150,Released
7873,The Story of Seabiscuit,700000,1949-11-12,,93,Released
7874,The Story of Us,50000000,1999-10-13,58900031,95,Released
7875,The Straight Story,10000000,1999-10-15,,112,Released
7876,The Strange Case of Angelica,2000000,2010-12-29,,97,Released
7877,The Stranger Within,800000,2013-05-01,,90,Released
7878,The Stranger in Me,500000,2008-10-16,,0,Released
7879,The Strangers,9000000,2008-05-29,82391145,86,Released
7880,The Stuff,1700000,1985-06-14,,93,Released
7881,The Subtenant,1300000,2008-09-12,,104,Released
7882,The Sugarland Express,3000000,1974-04-05,12800000,110,Released
7883,The Sum of All Fears,68000000,2002-05-31,193000000,124,Released
7884,The Sum of Us,32,1994-07-12,,100,Released
7885,The Super,22000000,1991-10-04,11000863,84,Released
7886,The Surgeon,10000000,1995-01-13,,99,Released
7887,The Swan Princess,35000000,1994-11-18,9771658,89,Released
7888,The Swan Princess Christmas,40000000,2012-11-05,,90,Released
7889,The Swedish Moment,495000,2014-11-07,,75,Released
7890,The Sweeney,3730500,2012-09-11,6294161,112,Released
7891,The Sweet Hereafter,5000000,1997-05-14,3263585,112,Released
7892,The Sweetest Thing,43000000,2002-04-12,68696770,84,Released
7893,The Switch,19000000,2010-05-11,49830607,101,Released
7894,The Sword and the Sorcerer,4000000,1982-04-01,39103425,100,Released
7895,The Sword in the Stone,3000000,1963-12-25,22182353,79,Released
7896,The TV Set,2000000,2006-04-28,265198,87,Released
7897,The Tailor of Panama,21000000,2001-02-11,28008462,109,Released
7898,The Taking of Pelham 1 2 3,100000000,2009-06-11,150166126,106,Released
7899,The Tale of Despereaux,60000000,2008-12-19,50877145,93,Released
7900,The Tale of the Princess Kaguya,49300000,2013-11-23,24186232,137,Released
7901,The Talented Mr. Ripley,40000000,1999-12-25,128798265,139,Released
7902,The Tall Man,18200000,2012-03-19,,106,Released
7903,The Tattooist,3000000,2007-11-28,,92,Released
7904,The Temp,15000000,1993-02-12,,99,Released
7905,The Temptations,8000000,1998-11-01,,175,Released
7906,The Ten Commandments,13000000,1956-10-05,122700000,220,Released
7907,The Terminal,60000000,2004-06-17,219417255,128,Released
7908,The Terminator,6400000,1984-10-26,78371200,108,Released
7909,The Terrorist,24554,1998-09-12,140021,95,Released
7910,The Texas Chain Saw Massacre,85000,1974-10-01,30859000,83,Released
7911,The Texas Chainsaw Massacre,9500000,2003-10-17,107071655,98,Released
7912,The Texas Chainsaw Massacre 2,4700000,1986-08-22,8025872,101,Released
7913,The Texas Chainsaw Massacre: The Beginning,16000000,2006-10-06,,91,Released
7914,The Theory of Everything,15000000,2014-11-26,123726688,123,Released
7915,The Thief of Bagdad,1135654,1924-03-18,1213880,149,Released
7916,The Thin Man,226408,1934-05-25,1423000,93,Released
7917,The Thin Red Line,52000000,1998-12-25,98126565,170,Released
7918,The Thing,15000000,1982-06-25,19629760,109,Released
7919,The Thing,35000000,2011-10-12,28128670,103,Released
7920,The Thing Called Love,14000000,1993-07-16,,116,Released
7921,The Third Wave,4667404,2003-10-15,,115,Released
7922,The Thirsting,350000,2006-01-01,,90,Released
7923,The Thirteen Assassins,6,1963-12-07,,141,Released
7924,The Thirteenth Floor,16000000,1999-04-16,18564088,100,Released
7925,The Thomas Crown Affair,48000000,1999-08-06,124305181,113,Released
7926,The Thomas Crown Affair,4300000,1968-06-19,,102,Released
7927,The Thompsons,3000000,2012-08-21,,84,Released
7928,The Three Brothers,7500000,1995-12-13,,105,Released
7929,The Three Brothers: The Return,13640000,2014-02-12,,0,Released
7930,The Three Burials of Melquiades Estrada,15000000,2005-11-17,12036149,121,Released
7931,The Three Musketeers,30000000,1993-11-11,53898845,105,Released
7932,The Three Musketeers,1500000,1921-08-28,,119,Released
7933,The Three Musketeers,75000000,2011-08-31,132274484,110,Released
7934,The Three Stooges,30000000,2012-04-13,54819301,92,Released
7935,The Three Stooges in Orbit,450000,1962-07-04,,90,Released
7936,The Tie That Binds,14000000,1995-09-08,5780000,99,Released
7937,The Tiger and the Snow,35000000,2005-10-14,,114,Released
7938,The Tiger: An Old Hunter's Tale,5000,2015-12-16,11083449,139,Released
7939,The Tigger Movie,30000000,2000-02-11,45554533,77,Released
7940,The Time Machine,750000,1960-08-17,,103,Released
7941,The Time Machine,80000000,2002-03-04,123729176,96,Released
7942,The Time That Remains,6500000,2009-08-12,753808,109,Released
7943,The Time Traveler's Wife,39000000,2009-08-14,101229792,107,Released
7944,The Time Travelers,250000,1964-10-29,,82,Released
7945,The Tingler,250000,1959-07-29,,82,Released
7946,The To Do List,1500000,2013-07-24,3566225,104,Released
7947,The Tomb,8800000,2009-11-05,,89,Released
7948,The Tommyknockers,12,1993-05-09,,181,Released
7949,The Toolbox Murders,185000,1978-03-15,,93,Released
7950,The Tortoise and the Hare,32671,1935-01-05,,9,Released
7951,The Tortured,8500000,2010-06-15,,79,Released
7952,The Touch,6900000,1971-07-14,6530000,115,Released
7953,The Tough Ones,1143000,1999-01-14,,105,Released
7954,The Tourist,100000000,2010-12-08,278731369,103,Released
7955,The Tournament,8000000,2009-05-01,,95,Released
7956,The Towering Inferno,14000000,1974-12-14,116000000,159,Released
7957,The Town,37000000,2010-09-15,154026136,125,Released
7958,The Tracey Fragments,700000,2007-02-08,31576,77,Released
7959,The Train,5800000,1964-09-21,6800000,133,Released
7960,The Transformers: The Movie,6000000,1986-08-08,5849647,84,Released
7961,The Transporter,21000000,2002-10-02,43928932,92,Released
7962,The Transporter Refueled,25000000,2015-09-03,72629670,96,Released
7963,The Treasure of the Sierra Madre,3800000,1948-01-24,4307000,126,Released
7964,The Treatment,900000,2006-04-08,82701,86,Released
7965,The Tree of Life,32000000,2011-05-18,54674226,139,Released
7966,The Trial of Billy Jack,7,1974-11-13,,170,Released
7967,The Trials of Cate McCall,7000000,2013-11-28,,89,Released
7968,The Trigger Effect,8000000,1996-08-30,,94,Released
7969,The Triplets of Belleville,8000000,2003-06-11,1477676,80,Released
7970,The Trotsky,6400000,2009-09-11,,120,Released
7971,The Trouble with Harry,1200000,1955-10-03,7000000,99,Released
7972,The Truman Show,60000000,1998-06-04,264118201,103,Released
7973,The Trust,9000000,2016-04-29,,93,Released
7974,"The Tulse Luper Suitcases, Part 1: The Moab Story",10000000,2003-05-24,25800,127,Released
7975,The Tunnel,135000,2011-05-19,,90,Released
7976,The Twilight Saga: Breaking Dawn - Part 1,110000000,2011-03-15,712171856,117,Released
7977,The Twilight Saga: Breaking Dawn - Part 2,120000000,2012-11-13,829000000,115,Released
7978,The Twilight Saga: Eclipse,68000000,2010-06-23,698491347,124,Released
7979,The Twilight Saga: New Moon,50000000,2009-03-15,709827462,130,Released
7980,The Twilight Samurai,5000000,2002-11-02,7338987,129,Released
7981,The Two Jakes,19000000,1990-08-10,10000000,138,Released
7982,The Ugly Duckling,11909,1931-12-17,,7,Released
7983,The Ugly Duckling,1,2010-09-16,,75,Released
7984,The Ugly Truth,38000000,2009-07-24,205298907,96,Released
7985,The Ultimate Accessory,1400000,2013-12-11,,98,Released
7986,The Unbearable Lightness of Being,17000000,1988-02-05,10006806,171,Released
7987,The Unborn,16000000,2009-01-09,76514050,87,Released
7988,The Undead,70000,1957-03-01,,71,Released
7989,The Undefeated,1000000,2011-07-15,,117,Rumored
7990,The Underneath,6500000,1995-04-28,,99,Released
7991,The Unholy Three,103000,1925-09-16,704000,86,Released
7992,The Union: The Business Behind Getting High,200000,2007-05-08,,104,Released
7993,The Unknown,217000,1927-06-04,,63,Released
7994,The Unknown Cyclist,2000000,1998-10-10,,96,Released
7995,The Unknown Woman,8000000,2006-10-09,,118,Released
7996,The Unseeable,2000000,2006-11-02,,100,Released
7997,The Unseen,2000000,1980-09-01,,94,Released
7998,The Untold,3000000,2002-07-29,,92,Released
7999,The Untold Story of Emmett Louis Till,204956,2005-01-01,,70,Released
8000,The Untouchables,25000000,1987-06-02,76270454,119,Released
8001,The Unwanted,100000,2014-03-31,,95,Released
8002,The Usual Suspects,6000000,1995-07-19,23341568,106,Released
8003,The Vagrant,9500000,1992-05-15,,91,Released
8004,The Valley of Decision,2160000,1945-06-01,9132000,119,Released
8005,The Vatican Tapes,13000000,2015-07-24,1784763,91,Released
8006,The Veil,4000000,2016-04-21,,93,Released
8007,The Veil of Twilight,1131974,2014-10-10,,90,Released
8008,The Velocity of Gary,4000000,1999-07-16,,100,Released
8009,The Verdict,16000000,1982-12-08,53977250,129,Released
8010,The Vessel,5000000,2016-09-15,,86,Released
8011,The Vikings,5000000,1958-06-28,,111,Released
8012,The Village,60000000,2004-07-30,256697520,108,Released
8013,The Virgin Suicides,6000000,1999-04-21,10409377,97,Released
8014,The Virginity Hit,2000000,2010-09-10,563706,120,Released
8015,The Visit,5000000,2015-09-10,98450062,94,Released
8016,The Visitor,800000,1979-03-22,,108,Released
8017,The Visitors: Bastille Day,25868826,2016-03-23,,110,Released
8018,The Visual Bible: The Gospel of John,10000000,2003-09-11,4069090,125,Released
8019,The Vow,30000000,2012-02-05,196114570,104,Released
8020,The Wackness,6000000,2008-07-03,2899975,99,Released
8021,The Walk,35000000,2015-09-30,61181942,123,Released
8022,The Walker,10000000,2007-02-13,,108,Released
8023,The War of the Worlds,2000000,1953-08-13,2000000,85,Released
8024,The Ward,10000000,2010-09-13,498974,88,Released
8025,The Warlords,40000000,2007-12-12,,126,Released
8026,The Warrior's Way,42000000,2010-12-02,11087569,100,Released
8027,The Warriors,4000000,1979-02-08,22490039,93,Released
8028,The Wash,7000000,2001-11-16,10229331,93,Released
8029,The Wasp Woman,50000,1959-11-02,,73,Released
8030,The Watch,68000000,2012-07-26,68267862,98,Released
8031,The Watcher,33000000,2000-09-08,,96,Released
8032,The Water Diviner,22500000,2014-12-25,15520023,112,Released
8033,The Water Horse,40000000,2007-12-25,103071443,112,Released
8034,The Waterboy,23000000,1998-11-06,185991646,90,Released
8035,The Watermen,1150000,2011-12-25,,96,Released
8036,The Wave,7500000,2008-03-11,19000000,107,Released
